"population_country","country","city","population_city"
56286961,"England","Bath",88859
56286961,"England","Birmingham",1092330
56286961,"England","Bradford",522452
56286961,"England","Brighton  Hove",273369
56286961,"England","Bristol",428234
56286961,"England","Cambridge",123867
56286961,"England","Canterbury",151145
56286961,"England","Carlisle",107524
56286961,"England","Chelmsford",168310
56286961,"England","Chester",91733
56286961,"England","Chichester",26795
56286961,"England","Coventry",316915
56286961,"England","Derby",248752
56286961,"England","Durham",94375
56286961,"England","Ely",20256
56286961,"England","Exeter",117773
56286961,"England","Gloucester",121688
56286961,"England","Hereford",58896
56286961,"England","Kingston upon Hull",256406
56286961,"England","Lancaster",138375
56286961,"England","Leeds",751485
56286961,"England","Leicester",329839
56286961,"England","Lichfield",32219
56286961,"England","Lincoln",93541
56286961,"England","Liverpool",466415
56286961,"England","Manchester",503127
56286961,"England","Newcastle upon Tyne",280177
56286961,"England","Norwich",132512
56286961,"England","Nottingham",305680
56286961,"England","Oxford",151906
56286961,"England","Peterborough",183631
56286961,"England","Plymouth",256384
56286961,"England","Portsmouth",205056
56286961,"England","Preston",140202
56286961,"England","Ripon",16702
56286961,"England","St Albans",140644
56286961,"England","Salford",233933
56286961,"England","Salisbury",40302
56286961,"England","Sheffield",552698
56286961,"England","Southampton",236882
56286961,"England","StokeonTrent",249008
56286961,"England","Sunderland",275506
56286961,"England","Truro",18766
56286961,"England","Wakefield",325837
56286961,"England","Wells",10536
56286961,"England","Winchester",116595
56286961,"England","Wolverhampton",249470
56286961,"England","Worcester",98768
56286961,"England","York",198051
5463300,"Scotland","Aberdeen",222793
5463300,"Scotland","Dundee",147268
5463300,"Scotland","Edinburgh",476626
5463300,"Scotland","Glasgow",593245
5463300,"Scotland","Inverness",79415
5463300,"Scotland","Perth",45770
5463300,"Scotland","Stirling",34790
3152879,"Wales","Bangor",18808
3152879,"Wales","Cardiff",346090
3152879,"Wales","Newport",145736
3152879,"Wales","St Asaph",3355
3152879,"Wales","St Davids",1841
3152879,"Wales","Swansea",239023
1893667,"Northern Ireland","Armagh",14777
1893667,"Northern Ireland","Belfast",333871
1893667,"Northern Ireland","Derry",107877
1893667,"Northern Ireland","Lisburn",45370
1893667,"Northern Ireland","Newry",29946
